Signature,Signature_Group,Color
ENU (400 uM),Alkylating Agents,#CCCCCC
Cyclophosphamide (18.75 uM) + S9,Drug Therapy,#CCCCCC
BaP (0.39 uM) + S9,PAHs,#CCCCCC
6-Nitrochrysene (12.5 uM) + S9,Nitro-PAHs,#CCCCCC
AAI (1.25 uM),Compendium - Others,#CCCCCC
Potassium bromate (260 uM),ROS,#ABE7F4
6-Nitrochrysene (0.78 uM),Nitro-PAHs,#CCCCCC
Ellipticine (0.375 uM) + S9,Drug Therapy,#CCCCCC
DBA (75 uM) + S9,PAHs,#CCCCCC
PhIP (3 uM) + S9,Heterocyclic Amines,#CCCCCC
AFB1 (0.25 uM) + S9,Compendium - Others,#CCCCCC
3-NBA (0.025 uM),Nitro-PAHs,#CCCCCC
1_6-DNP (0.09 uM),Nitro-PAHs,#CCCCCC
5-Methylchrysene (1.6 uM) + S9,PAHs,#CCCCCC
Furan (100 mM) + S9,Compendium - Others,#CCCCCC
SSR (1.25 J),Radiation,#8BF18B
AAII (37.5 uM),Compendium - Others,#CCCCCC
Propylene oxide (10 mM),Compendium - Others,#CCCCCC
N-Nitrosopyrrolidine (50 mM),Nitrosamine,#CCCCCC
Mechlorethamine (0.3 uM),Drug Therapy,#CCCCCC
DES (0.938 mM),Alkylating Agents,#CCCCCC
DMS (0.078 mM),Alkylating Agents,#CCCCCC
Cisplatin (3.125 uM),Drug Therapy,#CCCCCC
OTA (0.08 uM) + S9,Compendium - Others,#CCCCCC
Carboplatin (5 uM),Drug Therapy,#CCCCCC
DBAC (5 uM) + S9,PAHs,#CCCCCC
Temozolomide (200 uM).1,Drug Therapy,#CCCCCC
Cisplatin (12.5 uM),Drug Therapy,#CCCCCC
AZD7762 (1.625 uM),DNA Damage Response Inhibitors,#CCCCCC
3-NBA (0.1 uM),Nitro-PAHs,#CCCCCC
PhIP (4 uM) + S9,Heterocyclic Amines,#CCCCCC
BaP (2 uM) + S9,PAHs,#CCCCCC
6-Nitrochrysene (50 uM) + S9,Nitro-PAHs,#CCCCCC
6-Nitrochrysene (50 uM),Nitro-PAHs,#CCCCCC
1_8-DNP (8 uM),Nitro-PAHs,#CCCCCC
DBPDE (0.000625 uM),PAHs,#CCCCCC
